Date,Close
1/2/2014 16:00:00,30.46
1/3/2014 16:00:00,30.52
1/6/2014 16:00:00,30.55
1/7/2014 16:00:00,30.74
1/8/2014 16:00:00,30.95
1/9/2014 16:00:00,30.93
1/10/2014 16:00:00,30.69
1/13/2014 16:00:00,30.54
1/14/2014 16:00:00,31
1/15/2014 16:00:00,31.18
1/16/2014 16:00:00,31.17
1/17/2014 16:00:00,31.09
1/21/2014 16:00:00,31.23
1/22/2014 16:00:00,31.27
1/23/2014 16:00:00,31.01
1/24/2014 16:00:00,30.09
1/27/2014 16:00:00,29.66
1/28/2014 16:00:00,30.42
1/29/2014 16:00:00,30.11
1/30/2014 16:00:00,30.82
1/31/2014 16:00:00,30.4
2/3/2014 16:00:00,30.6
2/4/2014 16:00:00,31.44
2/5/2014 16:00:00,30.65
2/6/2014 16:00:00,30.84
2/7/2014 16:00:00,31.22
2/10/2014 16:00:00,31.47
2/11/2014 16:00:00,31.88
2/12/2014 16:00:00,31.61
2/13/2014 16:00:00,31.7
2/14/2014 16:00:00,31.94
2/18/2014 16:00:00,31.88
2/19/2014 16:00:00,31.48
2/20/2014 16:00:00,31.55
2/21/2014 16:00:00,31.46
2/24/2014 16:00:00,31.99
2/25/2014 16:00:00,31.89
2/26/2014 16:00:00,31.99
2/27/2014 16:00:00,32.23
2/28/2014 16:00:00,32.11
3/3/2014 16:00:00,31.98
3/4/2014 16:00:00,32.69
3/5/2014 16:00:00,32.75
3/6/2014 16:00:00,32.46
3/7/2014 16:00:00,32.43
3/10/2014 16:00:00,32.39
3/11/2014 16:00:00,32.42
3/12/2014 16:00:00,31.98
3/13/2014 16:00:00,31.12
3/14/2014 16:00:00,31.23
3/17/2014 16:00:00,31.42
3/18/2014 16:00:00,31.93
3/19/2014 16:00:00,31.71
3/20/2014 16:00:00,31.91
3/21/2014 16:00:00,32.18
3/24/2014 16:00:00,31.49
3/25/2014 16:00:00,31.82
3/26/2014 16:00:00,32.18
3/27/2014 16:00:00,32.1
3/28/2014 16:00:00,31.88
3/31/2014 16:00:00,32.12
4/1/2014 16:00:00,31.95
4/2/2014 16:00:00,32.29
4/3/2014 16:00:00,32.4
4/4/2014 16:00:00,32.16
4/7/2014 16:00:00,31.2
4/8/2014 16:00:00,30.87
4/9/2014 16:00:00,31.23
4/10/2014 16:00:00,30.61
4/11/2014 16:00:00,29.86
4/14/2014 16:00:00,29.87
4/15/2014 16:00:00,29.89
4/16/2014 16:00:00,30.09
4/17/2014 16:00:00,30.25
4/21/2014 16:00:00,30.86
4/22/2014 16:00:00,31
4/23/2014 16:00:00,30.92
4/24/2014 16:00:00,30.71
4/25/2014 16:00:00,30.75
4/28/2014 16:00:00,32.04
4/29/2014 16:00:00,31.76
4/30/2014 16:00:00,31.28
5/1/2014 16:00:00,31.15
5/2/2014 16:00:00,30.75
5/5/2014 16:00:00,29.96
5/6/2014 16:00:00,29.43
5/7/2014 16:00:00,29.02
5/8/2014 16:00:00,29.17
5/9/2014 16:00:00,29.03
5/12/2014 16:00:00,29.13
5/13/2014 16:00:00,29.2
5/14/2014 16:00:00,29.1
5/15/2014 16:00:00,29.06
5/16/2014 16:00:00,29.12
5/19/2014 16:00:00,29.28
5/20/2014 16:00:00,29.25
5/21/2014 16:00:00,29.57
5/22/2014 16:00:00,29.66
5/23/2014 16:00:00,29.49
5/27/2014 16:00:00,29.61
5/28/2014 16:00:00,29.61
5/29/2014 16:00:00,29.6
5/30/2014 16:00:00,29.63
6/2/2014 16:00:00,29.71
6/3/2014 16:00:00,29.59
6/4/2014 16:00:00,29.64
6/5/2014 16:00:00,29.76
6/6/2014 16:00:00,29.42
6/9/2014 16:00:00,29.35
6/10/2014 16:00:00,29.5
6/11/2014 16:00:00,29.43
6/12/2014 16:00:00,29.45
6/13/2014 16:00:00,29.53
6/16/2014 16:00:00,29.61
6/17/2014 16:00:00,29.48
6/18/2014 16:00:00,29.71
6/19/2014 16:00:00,29.59
6/20/2014 16:00:00,29.78
6/23/2014 16:00:00,29.45
6/24/2014 16:00:00,29.3
6/25/2014 16:00:00,29.8
6/26/2014 16:00:00,29.59
6/27/2014 16:00:00,29.67
6/30/2014 16:00:00,29.68
7/1/2014 16:00:00,30.08
7/2/2014 16:00:00,30.37
7/3/2014 16:00:00,30.53
7/7/2014 16:00:00,30.49
7/8/2014 16:00:00,30.15
7/9/2014 16:00:00,30.05
7/10/2014 16:00:00,30
7/11/2014 16:00:00,30.07
7/14/2014 16:00:00,30.24
7/15/2014 16:00:00,30.41
7/16/2014 16:00:00,30.96
7/17/2014 16:00:00,30.55
7/18/2014 16:00:00,30.73
7/21/2014 16:00:00,30.35
7/22/2014 16:00:00,30.49
7/23/2014 16:00:00,30.39
7/24/2014 16:00:00,30.34
7/25/2014 16:00:00,30.19
7/28/2014 16:00:00,30.1
7/29/2014 16:00:00,29.73
7/30/2014 16:00:00,29.26
7/31/2014 16:00:00,28.7
8/1/2014 16:00:00,28.86
8/4/2014 16:00:00,28.75
8/5/2014 16:00:00,28.41
8/6/2014 16:00:00,28.28
8/7/2014 16:00:00,28.04
8/8/2014 16:00:00,28.34
8/11/2014 16:00:00,28.25
8/12/2014 16:00:00,28.08
8/13/2014 16:00:00,28.21
8/14/2014 16:00:00,28.73
8/15/2014 16:00:00,28.64
8/18/2014 16:00:00,28.84
8/19/2014 16:00:00,28.94
8/20/2014 16:00:00,28.89
8/21/2014 16:00:00,28.82
8/22/2014 16:00:00,28.92
8/25/2014 16:00:00,28.91
8/26/2014 16:00:00,29.21
8/27/2014 16:00:00,29.49
8/28/2014 16:00:00,29.38
8/29/2014 16:00:00,29.39
9/2/2014 16:00:00,29.26
9/3/2014 16:00:00,29.4
9/4/2014 16:00:00,29.37
9/5/2014 16:00:00,29.65
9/8/2014 16:00:00,29.4
9/9/2014 16:00:00,29.23
9/10/2014 16:00:00,29.44
9/11/2014 16:00:00,29.63
9/12/2014 16:00:00,29.43
9/15/2014 16:00:00,29.92
9/16/2014 16:00:00,30.05
9/17/2014 16:00:00,30.35
9/18/2014 16:00:00,30.58
9/19/2014 16:00:00,30.4
9/22/2014 16:00:00,30.18
9/23/2014 16:00:00,30.05
9/24/2014 16:00:00,30.31
9/25/2014 16:00:00,29.98
9/26/2014 16:00:00,29.72
9/29/2014 16:00:00,29.77
9/30/2014 16:00:00,29.57
10/1/2014 16:00:00,29.15
10/2/2014 16:00:00,29.06
10/3/2014 16:00:00,29.22
10/6/2014 16:00:00,29.17
10/7/2014 16:00:00,28.79
10/8/2014 16:00:00,29.38
10/9/2014 16:00:00,28.99
10/10/2014 16:00:00,29.13
10/13/2014 16:00:00,28.47
10/14/2014 16:00:00,28.46
10/15/2014 16:00:00,28.19
10/16/2014 16:00:00,27.7
10/17/2014 16:00:00,27.83
10/20/2014 16:00:00,27.93
10/21/2014 16:00:00,28.28
10/22/2014 16:00:00,28.3
10/23/2014 16:00:00,28.6
10/24/2014 16:00:00,29.11
10/27/2014 16:00:00,29.03
10/28/2014 16:00:00,29.09
10/29/2014 16:00:00,29.49
10/30/2014 16:00:00,29.84
10/31/2014 16:00:00,29.95
11/3/2014 16:00:00,30.19
11/4/2014 16:00:00,30.28
11/5/2014 16:00:00,30.04
11/6/2014 16:00:00,30.04
11/7/2014 16:00:00,29.92
11/10/2014 16:00:00,30.2
11/11/2014 16:00:00,30.32
11/12/2014 16:00:00,30.42
11/13/2014 16:00:00,30.42
11/14/2014 16:00:00,30.34
11/17/2014 16:00:00,30.32
11/18/2014 16:00:00,30.59
11/19/2014 16:00:00,30.44
11/20/2014 16:00:00,30.44
11/21/2014 16:00:00,30.45
11/24/2014 16:00:00,30.22
11/25/2014 16:00:00,30.47
11/26/2014 16:00:00,31.1
11/28/2014 16:00:00,31.15
12/1/2014 16:00:00,31.26
12/2/2014 16:00:00,31.57
12/3/2014 16:00:00,31.75
12/4/2014 16:00:00,31.67
12/5/2014 16:00:00,31.99
12/8/2014 16:00:00,31.97
12/9/2014 16:00:00,31.95
12/10/2014 16:00:00,31.86
12/11/2014 16:00:00,31.65
12/12/2014 16:00:00,30.95
12/15/2014 16:00:00,30.86
12/16/2014 16:00:00,30.67
12/17/2014 16:00:00,31.12
12/18/2014 16:00:00,31.97
12/19/2014 16:00:00,31.94
12/22/2014 16:00:00,32.09
12/23/2014 16:00:00,31.45
12/24/2014 16:00:00,31.42
12/26/2014 16:00:00,31.65
12/29/2014 16:00:00,31.39
12/30/2014 16:00:00,31.38
12/31/2014 16:00:00,31.15
1/2/2015 16:00:00,31.33
1/5/2015 16:00:00,31.16
1/6/2015 16:00:00,31.42
1/7/2015 16:00:00,31.85
1/8/2015 16:00:00,32.5
1/9/2015 16:00:00,32.65
1/12/2015 16:00:00,32.77
1/13/2015 16:00:00,32.44
1/14/2015 16:00:00,32.48
1/15/2015 16:00:00,32.4
1/16/2015 16:00:00,32.8
1/20/2015 16:00:00,33.1
1/21/2015 16:00:00,32.64
1/22/2015 16:00:00,32.81
1/23/2015 16:00:00,32.45
1/26/2015 16:00:00,32.8
1/27/2015 16:00:00,32.6
1/28/2015 16:00:00,31.95
1/29/2015 16:00:00,31.83
1/30/2015 16:00:00,31.25
2/2/2015 16:00:00,31.65
2/3/2015 16:00:00,32.02
2/4/2015 16:00:00,32.07
2/5/2015 16:00:00,32.99
2/6/2015 16:00:00,33.17
2/9/2015 16:00:00,33.07
2/10/2015 16:00:00,34.15
2/11/2015 16:00:00,34.25
2/12/2015 16:00:00,34.87
2/13/2015 16:00:00,34.64
2/17/2015 16:00:00,34.58
2/18/2015 16:00:00,34.48
2/19/2015 16:00:00,34.41
2/20/2015 16:00:00,34.56
2/23/2015 16:00:00,34.39
2/24/2015 16:00:00,34.34
2/25/2015 16:00:00,34.66
2/26/2015 16:00:00,34.59
2/27/2015 16:00:00,34.32
3/2/2015 16:00:00,34.77
3/3/2015 16:00:00,34.56
3/4/2015 16:00:00,34.64
3/5/2015 16:00:00,34.47
3/6/2015 16:00:00,33.97
3/9/2015 16:00:00,34.03
3/10/2015 16:00:00,33.78
3/11/2015 16:00:00,33.63
3/12/2015 16:00:00,34
3/13/2015 16:00:00,34
3/16/2015 16:00:00,34.44
3/17/2015 16:00:00,34.17
3/18/2015 16:00:00,34.38
3/19/2015 16:00:00,34.15
3/20/2015 16:00:00,34.25
3/23/2015 16:00:00,35.05
3/24/2015 16:00:00,34.52
3/25/2015 16:00:00,34.3
3/26/2015 16:00:00,34.16
3/27/2015 16:00:00,34.53
3/30/2015 16:00:00,35
3/31/2015 16:00:00,34.79
4/1/2015 16:00:00,34.33
4/2/2015 16:00:00,34.38
4/6/2015 16:00:00,34.48
4/7/2015 16:00:00,34.54
4/8/2015 16:00:00,34.64
4/9/2015 16:00:00,35.03
4/10/2015 16:00:00,35.44
4/13/2015 16:00:00,35.09
4/14/2015 16:00:00,35.03
4/15/2015 16:00:00,35.21
4/16/2015 16:00:00,35.19
4/17/2015 16:00:00,35.04
4/20/2015 16:00:00,35.01
4/21/2015 16:00:00,34.89
4/22/2015 16:00:00,34.93
4/23/2015 16:00:00,35.36
4/24/2015 16:00:00,35.27
4/27/2015 16:00:00,34.59
4/28/2015 16:00:00,34.48
4/29/2015 16:00:00,34.29
4/30/2015 16:00:00,33.93
5/1/2015 16:00:00,34.08
5/4/2015 16:00:00,34.32
5/5/2015 16:00:00,34.12
5/6/2015 16:00:00,33.46
5/7/2015 16:00:00,33.58
5/8/2015 16:00:00,34.02
5/11/2015 16:00:00,33.96
5/12/2015 16:00:00,33.78
5/13/2015 16:00:00,33.53
5/14/2015 16:00:00,33.94
5/15/2015 16:00:00,33.99
5/18/2015 16:00:00,33.98
5/19/2015 16:00:00,34.21
5/20/2015 16:00:00,34.3
5/21/2015 16:00:00,34.36
5/22/2015 16:00:00,34.28
5/26/2015 16:00:00,34.11
5/27/2015 16:00:00,34.3
5/28/2015 16:00:00,34.44
5/29/2015 16:00:00,34.75
6/1/2015 16:00:00,34.56
6/2/2015 16:00:00,34.49
6/3/2015 16:00:00,34.41
6/4/2015 16:00:00,34.24
6/5/2015 16:00:00,34.09
6/8/2015 16:00:00,33.98
6/9/2015 16:00:00,34.01
6/10/2015 16:00:00,34.31
6/11/2015 16:00:00,34.46
6/12/2015 16:00:00,34.21
6/15/2015 16:00:00,34.04
6/16/2015 16:00:00,34.04
6/17/2015 16:00:00,33.98
6/18/2015 16:00:00,34.37
6/19/2015 16:00:00,34.18
6/22/2015 16:00:00,34.31
6/23/2015 16:00:00,34.5
6/24/2015 16:00:00,34.23
6/25/2015 16:00:00,34.02
6/26/2015 16:00:00,33.92
6/29/2015 16:00:00,33.59
6/30/2015 16:00:00,33.53
7/1/2015 16:00:00,33.69
7/2/2015 16:00:00,33.37
7/6/2015 16:00:00,33.25
7/7/2015 16:00:00,33.73
7/8/2015 16:00:00,33.45
7/9/2015 16:00:00,33.86
7/10/2015 16:00:00,34.36
7/13/2015 16:00:00,34.82
7/14/2015 16:00:00,35.08
7/15/2015 16:00:00,34.98
7/16/2015 16:00:00,35.1
7/17/2015 16:00:00,35.07
7/20/2015 16:00:00,35.24
7/21/2015 16:00:00,35.14
7/22/2015 16:00:00,34.88
7/23/2015 16:00:00,34.78
7/24/2015 16:00:00,34.26
7/27/2015 16:00:00,34.34
7/28/2015 16:00:00,35.35
7/29/2015 16:00:00,35.76
7/30/2015 16:00:00,35.73
7/31/2015 16:00:00,36.06
8/3/2015 16:00:00,36.15
8/4/2015 16:00:00,36.11
8/5/2015 16:00:00,35.82
8/6/2015 16:00:00,35.17
8/7/2015 16:00:00,35.19
8/10/2015 16:00:00,35.36
8/11/2015 16:00:00,35.12
8/12/2015 16:00:00,35.37
8/13/2015 16:00:00,35.36
8/14/2015 16:00:00,35.32
8/17/2015 16:00:00,35.5
8/18/2015 16:00:00,35.52
8/19/2015 16:00:00,35.27
8/20/2015 16:00:00,34.55
8/21/2015 16:00:00,33.54
8/24/2015 16:00:00,32.13
8/25/2015 16:00:00,31.34
8/26/2015 16:00:00,32.43
8/27/2015 16:00:00,33.26
8/28/2015 16:00:00,32.66
8/31/2015 16:00:00,32.22
9/1/2015 16:00:00,31.36
9/2/2015 16:00:00,31.97
9/3/2015 16:00:00,31.89
9/4/2015 16:00:00,31.37
9/8/2015 16:00:00,32.53
9/9/2015 16:00:00,31.96
9/10/2015 16:00:00,32.62
9/11/2015 16:00:00,32.97
9/14/2015 16:00:00,32.71
9/15/2015 16:00:00,33.17
9/16/2015 16:00:00,33.18
9/17/2015 16:00:00,33.48
9/18/2015 16:00:00,32.85
9/21/2015 16:00:00,32.42
9/22/2015 16:00:00,32.26
9/23/2015 16:00:00,32.62
9/24/2015 16:00:00,32.7
9/25/2015 16:00:00,31.89
9/28/2015 16:00:00,30.82
9/29/2015 16:00:00,31.02
9/30/2015 16:00:00,31.41
10/1/2015 16:00:00,31.84
10/2/2015 16:00:00,33.08
10/5/2015 16:00:00,33.48
10/6/2015 16:00:00,32.79
10/7/2015 16:00:00,33.29
10/8/2015 16:00:00,33.09
10/9/2015 16:00:00,33.24
10/12/2015 16:00:00,33.22
10/13/2015 16:00:00,32.98
10/14/2015 16:00:00,33.04
10/15/2015 16:00:00,34.08
10/16/2015 16:00:00,34.41
10/19/2015 16:00:00,34.5
10/20/2015 16:00:00,34
10/21/2015 16:00:00,33.46
10/22/2015 16:00:00,33.33
10/23/2015 16:00:00,34.05
10/26/2015 16:00:00,34.16
10/27/2015 16:00:00,34.99
10/28/2015 16:00:00,35.45
10/29/2015 16:00:00,34.77
10/30/2015 16:00:00,33.82
11/2/2015 16:00:00,35.06
11/3/2015 16:00:00,34.97
11/4/2015 16:00:00,34.14
11/5/2015 16:00:00,34.15
11/6/2015 16:00:00,33.93
11/9/2015 16:00:00,33.65
11/10/2015 16:00:00,33.79
11/11/2015 16:00:00,33.74
11/12/2015 16:00:00,33.39
11/13/2015 16:00:00,33.27
11/16/2015 16:00:00,33.16
11/17/2015 16:00:00,32.87
11/18/2015 16:00:00,33.31
11/19/2015 16:00:00,32.29
11/20/2015 16:00:00,32.18
11/23/2015 16:00:00,31.33
11/24/2015 16:00:00,31.97
11/25/2015 16:00:00,32.87
11/27/2015 16:00:00,32.79
11/30/2015 16:00:00,32.77
12/1/2015 16:00:00,33.62
12/2/2015 16:00:00,32.9
12/3/2015 16:00:00,32.39
12/4/2015 16:00:00,32.8
12/7/2015 16:00:00,32.66
12/8/2015 16:00:00,32.53
12/9/2015 16:00:00,32.29
